comment,non-information
"We need to catch this one here because the OpenOfficePanel class is loaded before connection, and therefore cannot directly reference or catch a DisposedException (which is in a OO JAR file).",no
css: label-outline *,yes
"This resize policy is almost the same as {@link TableView#CONSTRAINED_RESIZE_POLICY} We make sure that the width of all columns sums up to the total width of the table. However, in contrast to {@link TableView#CONSTRAINED_RESIZE_POLICY} we size the columns initially by their preferred width.",no
We have to cast the BibEntries from the BibEntrySuggestionProvider to ParsedEntryLink,no
Puts A List of {@link BibEntry} in the map All previous content is cleared,no
"This wraps the old Swing commands so that they fit into the new infrastructure. In the long term, this class should be removed.",no
run in one minute,no
"See if there are duplicate citations marks referring to different entries. If so, we need to use uniquefiers:",no
TODO: http://api.openoffice.org/docs/DevelopersGuide/OfficeDev/OfficeDev.xhtml#1_1_3_2_1_2_Frame_Hierarchies,no
"TODO: Print error message Localization.lang(""Error while writing"") + "" '"" + file.toString() + ""': "" + ex;",no
Parse the modified file.,no
Represents a binding between a text input control and a auto-completion popup This class is a slightly modified version of {@link impl.org.controlsfx.autocompletion.AutoCompletionTextFieldBinding} that works with general text input controls instead of just text fields.,no
Creates an instance of {@link LinkedFile} based on the given file. We try to guess the file type and relativize the path against the given file directories. TODO: Move this method to {@link LinkedFile} as soon as {@link CustomExternalFileType} lives in model.,no
Create a default suggestion provider based on the toString() method of the generic objects using the provided stringConverter,no
Remove entry,yes
Repaints the table with the most recent font configuration,no
Updates the timestamp of changed entries if the feature is enabled,no
Add the new component,yes
"Setting the character format failed, so we throw an exception that will result in an error message for the user:",no
"Implementation of {@link TaskExecutor} that runs every task on the current thread, i.e. in a sequential order. This class is not designed to be used in production but should make code involving asynchronous operations deterministic and testable.",no
"No file matched the name, try to open it directly using the given app",no
"Represents the viewport for a page. Note: the instances of {@link DocumentViewerPage} are reused, i.e., not every page is rendered in a new instance but instead {@link DocumentViewerPage#updateItem(Object)} is called.",no
"Set a given field to a given value for all entries in a Collection. This method DOES NOT update any UndoManager, but returns a relevant CompoundEdit that should be registered by the caller.",no
Go back to the relevant position:,no
Displays an BibEntry using the given layout format.,no
"Saved, now exit.",no
Try to get as much information from the temporal accessor,no
There is apparently no neat way to get the page number from a PDPage...thus this old-style for loop,no
Read the prefs information for file types:,no
start office process,no
Make a list of all PDFs linked from this entry:,no
"This method is called when the dialog is opened, or if it is made visible after being hidden. This calls the appropriate method in the ViewModel.",no
Perform migrations,yes
Constructs a {@link TableCell} based on the value of the cell and a bunch of specified converter methods.,no
store new patterns globally,no
A backup of the groups before the modification,no
MappedList implementation based on https://github.com/corda/corda/blob/master/client/jfx/src/main/kotlin/net/corda/client/jfx/utils/MappedList.kt,no
"Start of ugly hack: We need to find out, which tabs will be shown and which not and remove and re-add the appropriate tabs to the editor. We don't want to simply remove all and re-add the complete list of visible tabs, because the tabs give an ugly animation the looks like all tabs are shifting in from the right. This hack is required since tabbed.getTabs().setAll(visibleTabs) changes the order of the tabs in the editor",no
make sure the layout is set according to the checkbox,no
shift on win or no modifier,no
expand or collapse the tree item and reset the time,yes
The user wants to save.,no
Open the file:,no
Returns the path to the system's applications folder.,yes
Opens a shared database.,yes
no parameters,yes
This will wrap the built in and ieee abbreviations in pseudo abbreviation files and add them to the list of journal abbreviation files.,no
url?,yes
"First, remove tabs that we do not want to show",yes
Prevent right-click to select group,no
css: close-circle *,yes
"Unknown external file type. This instance represents a file type unknown to JabRef. This can happen, for example, when a database is loaded which contains links to files of a type that has not been defined on this JabRef instance.",no
"Wait 500 ms, then try to connect again, but do not wait longer than 5 min (= 600 * 500 ms) total:",no
Returns a text formatter that restricts input to integers,no
"Format a name field for the table, according to user preferences.",yes
css: view-list *,yes
"Ok, we have seen this exact marker before.",no
Execute the callables and wait for the results.,no
Stores all user dialogs related to {@link BackupManager}.,no
Nothing to do here,yes
The minimum number of selected entries to ask the user for confirmation,no
Exception used to indicate that the plugin attempted to set a character format that is not defined in the current OpenOffice document.,no
"create call with arguments We need a socket, pipe does not work. https://api.libreoffice.org/examples/examples.html",no
"imageView.setImage(new WritableImage(getDesiredWidth(), getDesiredHeight()));",yes
"Return a boolean, if the selected entry have url or doi",no
"This class can be used to wrap a @see StringProperty inside it. When wrapped, any Listener listening for updates to the wrapped StringProperty (for example because of a binding to it) is ensured to be notified on the JavaFX Application Thread. It should be used to implement bindings where updates come in from a background thread but should be reflected in the UI where it is necessary that changes to the UI are performed on the JavaFX Application thread.",no
